Average particle radius (µm), 5.231272222222223, 0.11923076507137842
Escaping voltage (V), 3.25
Escaping force (pN), 0.6236399362702864
Stiffness (pN/µm), 0.16301862807952194
Rsquared, 0.8166711211807428


Time (s), Voltage (V), EF gradient (V^2/m^3), DEP force (pN), Offset (µm)
0.5, 0.0, 0.0, 0.0, 0.1923
1.0, 0.0, 0.0, 0.0, 0.1923
1.5, 0.0, 0.0, 0.0, 0.0
2.0, 0.0, 0.0, 0.0, 0.1923
2.5, 0.25, 34940166658.48964, 0.005506606099959935, 0.0
3.0, 0.25, 34262508115.441658, 0.005399806418569998, 0.1923
3.5, 0.25, 34875298330.194885, 0.005496382784891823, 0.1923
4.0, 0.25, 34262508115.441658, 0.005399806418569998, 0.1923
4.5, 0.5, 136671408174.895, 0.01923381612724909, 0.1923
5.0, 0.5, 137050032461.76663, 0.021599225674279993, 0.1923
5.5, 0.5, 137050032461.76663, 0.021599225674279993, 0.1923
6.0, 0.5, 137189421471.39816, 0.024113622936757825, 0.2719532680443462
6.5, 0.75, 308676198310.64575, 0.05425565160770508, 0.2719532680443462
7.0, 0.75, 295908111221.8647, 0.04663542181147625, 0.6081059940503794
7.5, 0.75, 306941058722.177, 0.04319592491364958, 0.2719532680443462
8.0, 0.75, 308676198310.64575, 0.05425565160770508, 0.2719532680443462
8.5, 1.0, 526058864394.4259, 0.08290741655373551, 0.6081059940503794
9.0, 1.0, 546098699909.34247, 0.08606571518371131, 0.42999587207320955
9.5, 1.0, 548757685885.59265, 0.0964544917470313, 0.2719532680443462
10.0, 1.0, 547668700051.7871, 0.09626308199037355, 0.42999587207320955
10.5, 1.25, 857433884196.2377, 0.15071014335473626, 0.2719532680443462
11.0, 1.25, 854977754063.0854, 0.134745370904231, 0.2719532680443462
11.5, 1.25, 819659264996.2423, 0.1153509413597287, 0.6081059940503794
12.0, 1.25, 821966975616.29, 0.1295428383652117, 0.6081059940503794
12.5, 1.5, 1183632444887.4587, 0.186541687245905, 0.6081059940503794
13.0, 1.5, 1181296237505.85, 0.18617349856655271, 0.6933475102717251
13.5, 1.5, 1232254575116.5203, 0.21659193447834035, 0.42999587207320955
14.0, 1.5, 1181296237505.85, 0.18617349856655271, 0.6933475102717251
14.5, 1.75, 1612569842449.407, 0.28343950082272823, 0.6933475102717251
15.0, 1.75, 1576367585403.1228, 0.2484371481797385, 0.8599917441464191
15.5, 1.75, 1576367585403.1228, 0.2484371481797385, 0.8599917441464191
16.0, 1.75, 1545363926535.7517, 0.24355093974493525, 1.0355671924119652
16.5, 2.0, 2024423357902.4414, 0.3558305078719354, 1.0355671924119652
17.0, 2.0, 2018434516291.5957, 0.31810734987093614, 1.0355671924119652
17.5, 2.0, 1986084145961.052, 0.31300889832835166, 1.1538
18.0, 2.0, 1946713353275.4688, 0.30680402102247845, 1.3461
18.5, 2.25, 2456666022699.2285, 0.34572748753851495, 1.3461
19.0, 2.25, 2366572971528.7974, 0.37297432746659115, 1.7307
19.5, 2.25, 2373828401047.0327, 0.41724502053789075, 1.7307
20.0, 2.25, 2319147554948.493, 0.36550003317409985, 1.923
20.5, 2.5, 2800529132042.987, 0.4413662634284079, 2.1240229236051102
21.0, 2.5, 2800529132042.987, 0.4413662634284079, 2.1240229236051102
21.5, 2.5, 2735688771135.1484, 0.38499445866585247, 2.3155986375017585
22.0, 2.5, 2757600663233.5723, 0.4847002187936989, 2.3076
22.5, 2.75, 3243057050983.257, 0.45639657805361283, 2.5072852450409386
23.0, 2.75, 3127482642007.674, 0.49289447192186686, 2.8845
23.5, 2.75, 2995272104398.3384, 0.47205795559970853, 3.2747509981676473
24.0, 2.75, 2995272104398.3384, 0.47205795559970853, 3.2747509981676473
24.5, 3.0, 3502895009210.515, 0.6156997276700619, 3.4667375513586256
25.0, 3.0, 3436638946576.99, 0.6040539776225473, 3.6537
25.5, 3.0, 3278520134317.2764, 0.5166981356136834, 4.042875978805188
26.0, 3.0, 3278520134317.2764, 0.5166981356136834, 4.042875978805188
26.5, 3.25, 3681756373004.41, 0.5802485803892509, 4.439590247984604
27.0, 3.25, 3548069167696.9414, 0.6236399362702864, 4.81134446282949
